Total landfill gas,,30.03
Methane,,16.04
Carbon dioxide,,44.01
NMOC,2400,86.18
1;1;1-Trichloroethane (methyl chloroform) - HAP,0.48,133.41
1;1;2;2-Tetrachloroethane - HAP/VOC,1.1,167.85
1;1-Dichloroethane (ethylidene dichloride) - HAP/VOC,2.4,98.97
1;1-Dichloroethene (vinylidene chloride) - HAP/VOC,0.2,96.94
1;2-Dichloroethane (ethylene dichloride) - HAP/VOC,0.41,98.96
1;2-Dichloropropane (propylene dichloride) - HAP/VOC,0.18,112.99
2-Propanol (isopropyl alcohol) - VOC,50,60.11
Acetone,7,58.08
Acrylonitrile - HAP/VOC,6.3,53.06
Benzene - No or Unknown Co-disposal - HAP/VOC,1.9,78.11
Benzene - Co-disposal - HAP/VOC,11,78.11
Bromodichloromethane - VOC,3.1,163.83
Butane - VOC,5,58.12
Carbon disulfide - HAP/VOC,0.58,76.13
Carbon monoxide,140,28.01
Carbon tetrachloride - HAP/VOC,4.00E-03,153.84
Carbonyl sulfide - HAP/VOC,0.49,60.07
Chlorobenzene - HAP/VOC,0.25,112.56
Chlorodifluoromethane,1.3,86.47
Chloroethane (ethyl chloride) - HAP/VOC,1.3,64.52
Chloroform - HAP/VOC,0.03,119.39
Chloromethane - VOC,1.2,50.49
Dichlorobenzene - (HAP for para isomer/VOC),0.21,147
Dichlorodifluoromethane,16,120.91
Dichlorofluoromethane - VOC,2.6,102.92
Dichloromethane (methylene chloride) - HAP,14,84.94
Dimethyl sulfide (methyl sulfide) - VOC,7.8,62.13
Ethane,890,30.07
Ethanol - VOC,27,46.08
Ethyl mercaptan (ethanethiol) - VOC,2.3,62.13
Ethylbenzene - HAP/VOC,4.6,106.16
Ethylene dibromide - HAP/VOC,1.00E-03,187.88
Fluorotrichloromethane - VOC,0.76,137.38
Hexane - HAP/VOC,6.6,86.18
Hydrogen sulfide,36,34.08
Mercury (total) - HAP,2.90E-04,200.61
Methyl ethyl ketone - HAP/VOC,7.1,72.11
Methyl isobutyl ketone - HAP/VOC,1.9,100.16
Methyl mercaptan - VOC,2.5,48.11
Pentane - VOC,3.3,72.15
Perchloroethylene (tetrachloroethylene) - HAP,3.7,165.83
Propane - VOC,11,44.09
t-1;2-Dichloroethene - VOC,2.8,96.94
Toluene - No or Unknown Co-disposal - HAP/VOC,39,92.13
Toluene - Co-disposal - HAP/VOC,170,92.13
Trichloroethylene (trichloroethene) - HAP/VOC,2.8,131.4
Vinyl chloride - HAP/VOC,7.3,62.5
Xylenes - HAP/VOC,12,106.16